text,label
任天堂果然貼心，每次我失敗都會有歡樂的音效提醒我多努力，真是讓人感動。,0
關卡設計得這麼精妙，每跳一步都能掉下去，完全展現了設計師的惡趣味。,0
這遊戲的提示功能超棒，總是在我完全不需要的時候跳出來，真貼心。,0
畫質懷舊風十足，我差點以為我玩的是紅白機時代的遊戲，情懷爆棚。,0
音樂太催眠了，我已經在遊戲中睡著三次了，療癒效果一流。,0
這難度簡直是地獄級別，但至少我學會了怎麼快速重開關卡。,0
連跳三次都失敗的感覺實在太棒，任天堂真的懂玩家的M屬性。,0
線上模式這麼多人斷線，真的是在培養我做人的耐心與包容。,0
敵人AI聰明到我都以為我在跟人打，真不愧是現代科技的巔峰。,0
道具掉落的位置剛好在我看不到的地方，挑戰我的觀察力與人生意志。,0
一開始看遊戲名稱以為是驚喜，沒想到玩的時候真的驚呆了。,0
跳繩挑戰真的是送給手殘玩家的最大惡意，每次失敗都像是在嘲笑我。,0
我超愛這種存檔點設得離關卡開頭一公里遠的設計，每次死都能多跑一段路。,0
故事劇情簡單到連三歲小孩都能懂，完全不會讓我動腦，太輕鬆了。,0
角色語音豐富得讓我每句都聽不懂，真有挑戰性。,0
真是貼心的關卡重複設計，讓我練習同一跳躍技巧一百遍都不膩。,0
關卡時間設得剛剛好，剛好夠我在最後一秒死掉。,0
敵人出現的位置太有藝術感，我總是在最不該出現的時候被打到。,0
按鈕反應稍慢一點點剛好，讓我可以充分感受到挫敗感。,0
音效每次我GG都這麼歡樂，彷彿在安慰我：你很棒，再試一次。,0
地圖設計這麼複雜真是太貼心了，專治選擇障礙。,0
跳台的判定真是神乎其技，讓我有種賽馬娘QTE的錯覺。,0
我好喜歡這種沒有儲存點的設計，一命通關才叫硬派。,0
角色動作延遲個0.3秒，正好幫我訓練預判能力。,0
同伴AI笨得剛剛好，讓我學會了承擔與體諒。,0
收集要素這麼隱密，任天堂你是怕我太快玩完嗎？,0
能從這遊戲體驗到全方位的情緒風暴，真不愧是經典之作。,0
關卡背景花花綠綠，我差點以為是要我找碟仙。,0
每次都在旗桿前滑倒，真是完美的劇情張力安排。,0
從遊戲裡體會到失敗為成功之母這句話的真諦，太教育性了。,0
